year_manufactured,brand,model,km_tra,fuel,trans,rto,emi,sale_price
2015,Honda,City,76581,Petrol,Manual,Gujarat,12941.0,491000.0
2013,Maruti,Wagon R 1.0,64513,Petrol,Manual,Maharashtra,11239.0,239000.0
2018,Tata,TIGOR,83165,Petrol,Auto,Karnataka,7202.0,408000.0
2016,Maruti,Alto 800,50117,Petrol,Manual,Karnataka,5645.0,254000.0
2021,Tata,TIAGO NRG,34041,Petrol,Auto,Karnataka,9170.0,519000.0
2016,Maruti,Swift,22772,Petrol,Manual,Bihar,7765.0,349000.0
2020,Tata,ALTROZ,34887,Petrol,Manual,Maharashtra,9570.0,542000.0
2017,Honda,Amaze,58700,Petrol,Auto,Karnataka,9005.0,461000.0
2020,Maruti,Baleno,73745,Petrol,Manual,Uttar Pradesh,7780.0,441000.0
2018,Hyundai,Grand i10,72057,Petrol,Manual,Delhi,6236.0,353000.0
2021,Tata,Tiago,53412,Petrol,Manual,Gujarat,7314.0,414000.0
2019,Hyundai,NEW SANTRO,37851,Petrol,Manual,Madhya Pradesh,5258.0,298000.0
2017,Honda,Amaze,28471,Petrol,Manual,Uttar Pradesh,7565.0,387000.0
2017,Honda,WR-V,44386,Petrol,Manual,Gujarat,9339.0,478000.0
2017,Renault,Kwid,53753,Petrol,Auto,Madhya Pradesh,4910.0,251000.0
2018,Tata,NEXON,45315,Petrol,Auto,Maharashtra,11278.0,639000.0
2019,Mahindra,XUV300,77714,Petrol,Manual,Telangana,11299.0,640000.0
2015,Honda,Amaze,68267,Petrol,Manual,Delhi,6460.0,245000.0
2014,Hyundai,Eon,29859,Petrol,Manual,Karnataka,7736.0,233000.0
2016,Honda,City,94730,Petrol,Manual,Gujarat,10514.0,473000.0
2015,Maruti,Celerio,43781,Petrol,Auto,Maharashtra,7883.0,299000.0
2021,Renault,Kiger,49896,Petrol,Manual,Haryana,6320.0,358000.0
2016,Maruti,Alto K10,27778,Petrol,Manual,Uttar Pradesh,4919.0,221000.0
2023,Skoda,Kodiaq,60781,Petrol,Auto,Haryana,46231.0,2700000.0
2018,Maruti,Wagon R 1.0,75923,CNG,Manual,Maharashtra,7984.0,359000.0
2017,Hyundai,Eon,39805,Petrol,Manual,Gujarat,4040.0,207000.0
2018,Maruti,Wagon R 1.0,73846,CNG,Manual,Haryana,6659.0,299000.0
2020,Ford,Ecosport,63293,Petrol,Manual,Delhi,10257.0,581000.0
2019,Maruti,Baleno,17551,Petrol,Manual,Delhi,8039.0,455000.0
2016,Maruti,Swift,99872,Petrol,Manual,Maharashtra,7380.0,332000.0
